region,district id,district name,უბანი,მომაგრებული უბანი,ერთიან სიაში ამომრჩეველთა რაოდენობა,სპეციალურ სიაში ამომრჩეველთა რაოდენობა,აქტივობა 12 საათი,აქტივობა 17 საათი,არჩევნებში მონაწილეთა რაოდენობა,num ballots,ბათილი ბიულეტენები,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1  “კახა კუკავა – თავისუფალი საქართველო”,4 “ეროვნულ-დემოკრატიული პარტია”,5 “ერთიანი ნაციონალური მოძრაობა-მეტი სარგებელი ხალხს”,9 “სამართლიანი საქართველოსთვის”,10 “გიორგი თარგამაძე–ქრისტიან-დემოკრატიული გაერთიანება”,17 “სახალხო მოძრაობა”,19 “თავისუფლება – ზვიად გამსახურდიას გზა”,23 “ჯონდი ბაღათურია – ქართული დასი”,24 “ახალი მემარჯვენეები”,26 “სახალხო პარტია”,30  “მერაბ კოსტავას საზოგადოება”,35 “მომავალი საქართველო”,36 “საქართველოს მშრომელთა საბჭო”,38 “შალვა ნათელაშვილი – საქართველოს ლეიბორისტული პარტია”,40 “საქართველოს სპორტსმენთა კავშირი”,41 “ბიძინა ივანიშვილი – ქართული ოცნება”
,2,,14,,1395,12,317,843,1047,,22,,,,,,,,6,0,185,0,6,0,0,4,18,0,2,0,2,10,1,790
,2,,15,,1455,10,355,930,1091,,27,,,,,,,,11,0,201,1,11,0,0,1,10,0,1,0,0,14,4,810
,2,,16,,1369,9,299,716,936,,22,,,,,,,,3,0,195,0,11,1,1,1,8,0,0,0,0,7,2,684
,2,,17,,1462,9,323,830,1069,,22,,,,,,,,5,2,193,0,6,0,1,3,7,0,0,0,0,5,1,824
,2,,18,,1088,9,271,707,836,,23,,,,,,,,4,1,149,0,10,0,3,1,8,0,0,1,0,7,2,628
,2,,19,,1610,7,325,725,889,,21,,,,,,,,3,0,296,0,28,0,3,2,4,0,0,0,0,11,3,513
,2,,20,,350,4,140,238,254,,8,,,,,,,,0,1,82,0,9,0,0,0,1,0,0,0,1,2,1,148
,2,,21,,1256,13,94,310,373,,4,,,,,,,,3,0,73,0,8,0,0,2,1,0,0,0,1,3,0,278
,2,,22,,946,13,79,222,269,,3,,,,,,,,0,0,34,0,3,0,0,1,2,1,0,0,0,4,0,221
,2,,23,,1464,11,348,902,1094,,30,,,,,,,,9,1,222,0,19,0,1,1,12,0,0,0,0,13,4,781
,2,,24,,1499,8,453,927,1076,,23,,,,,,,,13,0,256,1,10,1,1,2,9,0,0,0,1,16,1,741
,2,,25,,1469,5,377,934,1088,,25,,,,,,,,10,1,216,2,11,0,1,1,6,0,1,1,0,16,2,793
,2,,26,,1491,10,368,917,1090,,29,,,,,,,,2,0,206,1,10,0,0,2,21,0,1,0,0,9,2,807
,2,,27,79,1355,8,398,888,2057,,59,,,,,,,,7,1,994,1,21,0,2,3,7,0,1,0,0,17,1,943
,2,,28,80,1466,1117,803,1593,1874,,38,,,,,,,,7,4,937,0,21,0,1,3,7,1,1,0,0,13,2,839
,2,,29,,1342,8,323,801,956,,25,,,,,,,,7,0,231,0,13,0,0,2,9,0,0,0,2,15,2,650
,2,,30,,1360,11,362,814,974,,28,,,,,,,,2,0,229,0,17,0,0,1,15,0,0,1,0,9,0,671
,2,,31,,1154,11,280,706,790,,20,,,,,,,,5,0,160,1,9,0,0,4,10,0,2,0,0,11,0,568
,2,,32,,912,11,270,573,649,,11,,,,,,,,3,0,158,0,7,0,0,3,5,0,0,0,0,6,1,455
,2,,33,,1156,7,304,727,810,,20,,,,,,,,2,3,155,3,10,0,1,1,7,0,1,0,0,6,0,601
,2,,34,,1374,10,421,890,1028,,20,,,,,,,,3,1,170,1,23,0,0,0,8,0,0,0,1,5,1,796
,2,,35,,1230,11,289,764,863,,25,,,,,,,,8,0,184,3,12,0,0,1,6,0,2,0,0,8,0,613
,2,,36,,1414,11,373,858,978,,24,,,,,,,,6,0,194,1,15,0,2,0,6,1,3,0,0,10,2,714
,2,,37,,1262,15,346,795,929,,24,,,,,,,,2,2,229,0,10,0,0,1,4,0,0,0,1,9,1,646
,2,,38,,1357,9,371,834,948,,21,,,,,,,,4,0,193,0,15,0,0,2,4,0,1,0,1,16,0,691
,2,,39,,1508,10,384,892,1040,,22,,,,,,,,5,0,216,1,16,0,1,3,7,0,0,1,1,0,3,754
,2,,40,,1048,11,313,678,757,,19,,,,,,,,4,1,167,0,4,1,1,1,3,1,0,0,0,4,0,551
,2,,41,,887,11,295,560,634,,10,,,,,,,,0,4,154,2,5,0,1,0,7,0,2,0,0,6,0,443
,2,,42,,1450,11,400,853,972,,30,,,,,,,,3,1,197,0,14,0,0,4,8,0,4,0,0,20,0,691
,2,,43,,1423,6,444,894,1005,,23,,,,,,,,3,4,258,1,13,0,0,3,2,1,0,0,0,13,1,683
,2,,44,,1442,10,334,861,1017,,35,,,,,,,,3,3,217,3,15,0,3,2,4,0,0,1,2,11,2,716
,2,,45,,1473,8,423,900,1049,,32,,,,,,,,6,1,201,1,23,1,1,2,4,0,0,0,0,18,3,752
,2,,46,,1274,9,359,785,897,,15,,,,,,,,2,0,181,0,11,0,2,1,7,0,1,0,1,6,0,669
,2,,47,,1292,10,417,821,921,,20,,,,,,,,6,0,176,1,16,1,0,6,5,2,0,0,1,14,1,672
,2,,48,,1372,9,353,786,929,,20,,,,,,,,0,4,208,0,16,0,0,2,2,0,0,0,0,11,3,660
,2,,49,,1324,13,320,798,979,,16,,,,,,,,5,2,187,0,5,0,3,4,12,1,1,0,1,12,0,730
,2,,50,,1472,13,376,933,1117,,26,,,,,,,,13,1,189,1,12,0,0,2,11,0,0,0,0,15,3,844
,2,,51,,1404,9,315,934,1050,,13,,,,,,,,5,1,172,0,15,0,0,2,5,0,0,0,0,4,3,830
,2,,52,,1185,12,310,769,899,,30,,,,,,,,4,2,177,1,14,0,0,0,9,0,0,0,0,5,0,656
,2,,53,,1493,5,366,829,1008,,24,,,,,,,,8,0,206,0,13,0,0,5,8,0,1,0,0,15,0,728
,2,,54,,1095,10,273,683,770,,21,,,,,,,,1,2,162,0,7,0,0,2,9,1,1,0,3,8,1,552
,2,,55,81,1294,1008,687,1746,1890,,32,,,,,,,,8,2,884,0,18,1,1,4,10,2,1,1,0,16,0,908
,2,,56,,1554,14,370,909,1056,,24,,,,,,,,9,3,234,0,20,0,0,2,5,0,2,0,0,9,0,748
,2,,57,,1324,10,325,728,878,,26,,,,,,,,4,0,156,1,21,0,0,3,7,0,1,1,0,11,2,645
,2,,58,,1393,9,438,869,977,,18,,,,,,,,2,0,178,0,24,0,1,1,4,0,0,0,0,10,1,737
,2,,59,,1455,8,244,774,1055,,38,,,,,,,,4,4,201,1,12,1,0,0,11,2,2,1,0,12,0,766
,2,,60,,1298,9,370,837,924,,29,,,,,,,,3,1,199,1,7,0,0,2,9,0,1,1,2,11,3,655
,2,,61,,1455,11,348,893,1022,,35,,,,,,,,2,2,204,0,12,0,0,0,6,1,1,0,1,11,0,745
,2,,62,,1333,10,313,774,898,,20,,,,,,,,7,2,190,0,8,0,0,3,8,0,0,0,0,12,0,647
,2,,63,,1296,12,281,720,888,,21,,,,,,,,4,1,214,0,17,0,0,2,8,0,0,0,0,8,0,613
,2,,64,,1405,11,432,897,1007,,29,,,,,,,,2,1,220,0,10,0,0,3,8,1,1,0,0,5,2,725
,2,,65,,632,8,179,349,374,,6,,,,,,,,1,1,127,0,7,0,0,1,1,0,1,0,0,4,0,225
,2,,66,,1144,9,270,641,873,,15,,,,,,,,0,0,209,0,5,0,0,1,3,0,0,0,1,11,0,630
,2,,67,,977,9,263,648,793,,27,,,,,,,,0,1,214,0,12,0,0,3,6,0,1,0,0,4,0,525
,2,,68,,1338,8,361,731,801,,20,,,,,,,,1,1,244,2,12,2,0,1,0,0,0,1,1,15,0,501
,2,,69,,1136,5,261,662,783,,20,,,,,,,,5,1,299,1,7,0,0,5,1,1,0,3,0,11,0,429
,2,,70,,947,11,248,604,658,,29,,,,,,,,0,0,215,0,9,0,0,0,1,0,0,1,0,2,0,399
,2,,71,,1503,10,400,879,970,,15,,,,,,,,3,2,213,0,12,0,4,3,6,0,3,0,1,7,1,700
,2,,72,,899,12,250,562,669,,18,,,,,,,,6,0,156,1,4,0,1,1,6,0,1,0,1,16,1,457
,2,,73,,1056,11,313,636,704,,16,,,,,,,,5,1,198,0,12,0,0,0,2,0,2,0,1,2,0,465
,2,,74,,939,7,291,635,700,,20,,,,,,,,7,1,151,0,7,0,1,1,10,1,1,0,0,12,1,486
,2,,75,,872,8,279,602,649,,16,,,,,,,,0,0,116,0,10,0,0,0,4,0,0,0,0,4,0,499
,2,,76,,1258,11,263,796,935,,22,,,,,,,,9,3,158,1,6,0,1,2,18,0,1,2,2,15,1,694
,2,,77,,884,12,92,274,335,,2,,,,,,,,3,1,61,0,11,0,0,1,1,0,0,0,0,6,0,249
,2,,78,,905,13,270,591,677,,13,,,,,,,,9,1,127,0,7,0,0,3,7,0,1,0,0,8,0,501
,3,,1,,1611,5,350,900,1106,,18,,,,,,,,1,1,253,0,15,0,1,2,5,0,0,0,0,11,1,781
,3,,2,,1393,10,420,956,1053,,20,,,,,,,,12,2,217,0,7,0,1,4,11,0,2,0,1,16,3,757
,3,,3,,1370,12,326,810,973,,21,,,,,,,,5,0,231,0,10,0,0,3,6,0,3,0,1,12,0,681
,3,,4,,1527,7,414,911,1038,,25,,,,,,,,3,0,238,0,14,0,0,3,7,0,0,0,0,7,2,736
,3,,5,,1550,8,410,927,1106,,28,,,,,,,,7,0,249,1,9,0,2,4,7,2,2,0,0,14,0,780
,3,,6,,1336,11,361,792,918,,11,,,,,,,,13,2,235,0,22,0,1,3,9,0,1,0,0,16,1,604
,3,,7,,1352,9,352,894,1026,,36,,,,,,,,5,0,235,1,17,0,0,6,6,0,0,0,0,6,1,712
,3,,8,,1592,8,415,925,1088,,16,,,,,,,,3,3,269,0,7,0,1,3,8,0,2,0,0,13,1,761
,3,,9,,1579,9,375,932,1173,,19,,,,,,,,4,1,239,0,15,0,1,11,8,1,4,0,0,7,0,863
,3,,10,,1477,10,432,1000,1127,,31,,,,,,,,1,4,217,0,9,0,1,6,8,1,6,0,1,4,1,836
,3,,11,,1420,11,296,807,1032,,14,,,,,,,,7,0,214,1,15,0,1,4,5,0,2,0,1,14,0,753
,3,,12,,1640,5,379,923,1155,,28,,,,,,,,6,4,249,0,27,0,0,2,11,1,2,0,0,4,1,820
,3,,13,,1531,10,305,840,1045,,22,,,,,,,,6,0,212,2,15,0,1,4,7,1,1,0,1,6,1,765
,3,,14,,1541,6,462,985,1115,,27,,,,,,,,6,3,222,0,3,0,1,5,4,1,5,0,0,10,3,824
,3,,15,,1498,7,532,985,1105,,31,,,,,,,,6,0,244,0,12,0,2,3,3,1,1,1,0,10,2,781
,3,,16,,1547,13,394,940,1141,,31,,,,,,,,6,0,243,0,18,0,1,5,9,0,1,0,0,14,3,810
,3,,17,,1400,9,482,899,982,,32,,,,,,,,3,1,180,0,9,1,1,7,12,0,1,0,1,7,1,726
,3,,18,,1467,6,300,843,1060,,25,,,,,,,,3,0,200,1,14,0,2,10,8,0,1,0,1,12,2,781
,3,,19,,1401,11,397,882,1000,,23,,,,,,,,4,2,202,1,12,0,1,6,10,2,1,0,2,12,4,718
,3,,20,,1333,6,389,860,980,,21,,,,,,,,4,1,193,0,10,0,1,2,2,0,0,0,0,11,1,733
,3,,21,,1351,11,365,817,947,,29,,,,,,,,7,3,246,0,19,0,0,10,8,0,0,1,0,8,0,616
,3,,22,,1438,12,400,824,930,,18,,,,,,,,7,4,221,0,9,0,0,5,7,0,1,0,0,10,1,647
,3,,23,,1381,8,373,819,963,,20,,,,,,,,3,1,254,1,12,0,0,5,0,0,0,2,0,9,0,654
,3,,24,,1552,9,281,905,1090,,41,,,,,,,,4,0,259,0,19,0,0,5,4,0,1,0,0,8,0,749
,3,,25,,1375,11,362,821,915,,17,,,,,,,,3,4,207,2,13,1,1,6,4,0,0,0,1,13,0,642
,3,,26,,1233,8,391,801,901,,24,,,,,,,,4,1,199,0,10,0,0,3,7,0,1,0,0,8,2,641
,3,,27,,1445,12,365,869,996,,20,,,,,,,,2,0,209,1,7,0,0,6,7,0,1,0,0,9,1,732
,3,,28,,1410,12,395,910,1061,,36,,,,,,,,2,5,221,0,7,0,0,2,20,1,1,0,1,6,3,756
,3,,29,,1443,7,430,917,1041,,28,,,,,,,,6,0,213,1,10,0,0,5,3,0,0,0,0,15,1,759
,3,,30,,1281,11,348,775,908,,23,,,,,,,,5,3,191,2,13,0,0,8,3,2,3,0,0,14,0,640
,3,,31,,1552,9,342,896,1119,,33,,,,,,,,5,1,272,1,9,0,0,7,9,1,4,0,1,16,1,758
,3,,32,93,1475,1430,436,912,2483,,44,,,,,,,,2,9,1581,1,17,0,0,12,9,0,0,0,0,10,0,798
,3,,33,,1382,10,400,760,884,,24,,,,,,,,0,1,270,6,12,0,1,8,1,0,1,1,0,8,0,553
,3,,34,90,1328,782,784,1561,1711,,23,,,,,,,,4,1,913,2,23,1,0,7,4,0,2,0,0,11,1,718
,3,,35,92,1562,844,261,781,1778,,41,,,,,,,,6,2,710,0,17,0,1,3,2,0,1,1,0,26,3,961
,3,,36,,1558,7,502,1001,1096,,16,,,,,,,,6,0,223,1,9,1,0,6,5,1,2,0,0,17,0,809
,3,,37,,1553,6,475,994,1147,,16,,,,,,,,3,1,251,0,18,0,1,3,7,0,1,0,0,8,2,835
,3,,38,,1494,7,437,835,992,,16,,,,,,,,5,1,220,3,17,0,1,4,6,0,3,0,0,8,2,705
,3,,39,,1235,8,325,793,916,,21,,,,,,,,5,0,177,0,8,0,2,8,5,2,2,0,0,8,0,678
,3,,40,,1590,3,490,973,1097,,25,,,,,,,,1,0,206,0,18,0,0,4,5,0,2,0,2,17,1,816
,3,,41,,1284,7,362,729,825,,7,,,,,,,,3,1,152,1,14,0,0,2,4,0,1,0,0,7,1,632
,3,,42,,1418,12,434,793,899,,18,,,,,,,,4,0,162,0,15,0,2,6,4,0,1,0,1,12,1,673
,3,,43,,1295,12,304,755,887,,22,,,,,,,,3,1,168,0,3,0,3,5,6,2,0,0,0,12,2,660
,3,,44,,1530,8,372,901,1070,,22,,,,,,,,4,0,194,1,13,0,0,1,9,1,0,0,0,7,1,814
,3,,45,,1206,5,389,774,864,,20,,,,,,,,12,0,157,1,14,0,0,3,5,0,0,0,2,9,0,641
,3,,46,,1282,10,343,756,835,,27,,,,,,,,0,1,214,0,10,0,7,4,2,0,0,1,2,5,0,562
,3,,47,,1505,11,332,884,1075,,24,,,,,,,,7,2,250,1,10,0,0,4,6,0,1,0,3,8,0,758
,3,,48,,1385,8,327,802,963,,15,,,,,,,,2,0,215,1,9,0,0,9,2,1,0,0,0,21,1,687
,3,,49,,1493,10,397,815,927,,17,,,,,,,,4,0,171,0,7,0,0,7,1,1,1,0,1,15,3,699
,3,,50,,1373,9,415,872,983,,20,,,,,,,,2,0,194,1,12,0,0,1,1,0,0,1,0,10,0,740
,3,,51,,1553,7,424,915,1059,,29,,,,,,,,3,2,197,0,19,0,0,6,6,1,2,0,0,10,1,781
,3,,52,,1488,10,346,799,949,,15,,,,,,,,2,1,181,0,11,0,0,2,8,0,1,0,1,15,1,710
,3,,53,,1559,7,433,876,1020,,24,,,,,,,,2,0,217,0,9,0,2,5,5,0,0,0,0,19,1,736
,3,,54,,1424,12,426,933,1090,,25,,,,,,,,3,0,215,0,12,0,0,8,2,0,0,0,4,12,2,805
,3,,55,,1478,9,389,886,1057,,22,,,,,,,,2,0,161,0,6,0,1,8,1,0,0,0,1,17,0,838
,3,,56,,1552,10,366,898,1105,,17,,,,,,,,2,1,129,1,9,0,0,15,1,0,1,0,0,9,1,918
,3,,57,,1246,10,317,747,949,,30,,,,,,,,1,1,150,0,5,0,0,27,0,0,0,0,1,6,0,728
,3,,58,,1362,9,293,809,987,,61,,,,,,,,2,0,196,0,10,0,0,14,1,0,1,0,0,7,0,693
,3,,59,,1554,8,422,899,1099,,21,,,,,,,,0,1,234,4,10,0,0,15,1,0,0,0,0,10,0,802
,3,,60,,1454,9,332,705,807,,23,,,,,,,,1,0,401,3,9,1,0,0,0,1,0,0,0,12,0,356
,3,,61,,1319,11,293,798,965,,25,,,,,,,,5,3,178,0,10,0,0,2,9,0,1,0,1,9,3,719
,3,,62,,1490,9,347,896,1082,,27,,,,,,,,3,1,215,0,12,0,1,6,4,0,0,0,1,16,1,795
,3,,63,,1559,6,395,394,1143,,22,,,,,,,,1,1,209,1,19,1,1,6,13,0,4,1,1,15,0,846
,3,,64,,1542,7,360,905,1106,,26,,,,,,,,0,4,205,0,16,0,0,4,7,0,1,0,0,9,2,832
,3,,65,,1480,10,358,857,1003,,26,,,,,,,,9,4,266,0,21,0,2,3,4,0,2,0,2,7,1,653
,3,,66,,1490,7,295,793,947,,30,,,,,,,,7,1,224,0,11,0,1,7,2,1,2,0,0,9,1,651
,3,,67,,1347,11,306,751,850,,14,,,,,,,,6,0,182,1,5,0,0,6,12,0,0,0,1,5,1,617
,3,,68,,1573,11,322,773,966,,25,,,,,,,,2,2,346,0,10,0,0,0,5,0,0,1,0,32,0,543
,3,,69,,1497,9,439,1039,1145,,23,,,,,,,,5,5,258,0,15,0,0,4,6,0,3,0,0,9,3,814
,3,,70,94,1470,22,471,1148,1367,,31,,,,,,,,6,5,553,1,10,1,0,4,3,0,2,1,0,10,1,739
,3,,71,,1174,13,237,719,883,,15,,,,,,,,7,3,176,0,7,0,0,1,9,0,2,0,0,9,1,653
,3,,72,,1376,9,50,935,1066,,37,,,,,,,,4,2,236,0,13,0,0,0,14,1,0,0,0,7,4,740
,3,,73,,1522,0,419,943,1075,,31,,,,,,,,6,1,213,2,6,0,0,4,13,2,2,0,0,7,1,779
