"id","election_id","district_id","precinct_id","user_id","possible_voters","special_voters","votes_by_1200","votes_by_1700","ballots_signed_for","ballots_available","invalid_ballots_submitted","party_1","party_2","party_3","party_4","party_5","party_6","party_7","party_8","party_9","party_10","party_11","party_12","party_13","party_14","party_15","party_16","party_17","party_18","party_19","party_20","party_21","party_22","party_41","created_at","updated_at","is_valid","is_extra"
"42","1","3","27","36","1386","10","235","650","795","1300","21","0","1","1","2","140","0","0","0","21","1","2","0","0","66","4","2","0","0","1","0","0","1","532","2013-10-27 21:41:52","2013-10-27 21:41:52","0","0"
"43","1","2","26","32","1412","11","274","693","862","1350","32","0","0","0","10","158","0","0","0","11","4","4","0","0","95","0","0","0","0","0","2","0","0","546","2013-10-27 21:42:04","2013-10-27 21:42:04","NULL","1"
"44","1","2","26","29","1412","11","274","693","862","1350","32","0","0","0","10","158","0","0","0","11","0","4","0","0","95","0","0","0","0","0","2","0","0","546","2013-10-27 21:42:05","2013-10-27 21:42:05","NULL","1"
"45","1","2","39","20","1400","5","186","596","790","1300","26","1","0","1","9","143","1","0","0","11","7","6","0","0","72","3","2","0","0","0","0","0","1","507","2013-10-27 21:42:13","2013-10-27 21:42:13","1","0"
"46","1","2","26","21","1412","11","274","693","862","1350","32","0","0","0","10","158","0","0","0","11","4","4","0","0","95","0","0","0","0","0","2","0","0","546","2013-10-27 21:42:18","2013-10-27 21:42:18","NULL","1"
"47","1","2","39","19","1400","5","186","596","790","1300","26","1","0","1","9","143","1","0","0","11","7","6","0","0","72","3","2","0","0","0","0","0","1","507","2013-10-27 21:42:25","2013-10-27 21:42:25","NULL","1"
"48","1","3","2","26","1358","7","230","701","826","1250","13","1","2","0","8","155","0","7","0","27","4","16","0","0","84","2","2","1","0","0","0","0","1","509","2013-10-27 21:42:26","2013-10-27 21:42:26","0","0"
"49","1","2","24","30","1454","8","270","681","839","1350","18","0","0","0","10","189","2","2","0","17","4","4","0","1","67","0","2","0","0","2","0","0","4","517","2013-10-27 21:42:40","2013-10-27 21:42:40","1","0"
"50","1","2","24","22","1454","8","270","681","839","1350","18","0","0","0","10","189","2","2","0","17","4","4","0","1","67","0","2","0","0","2","0","0","4","517","2013-10-27 21:42:47","2013-10-27 21:42:47","NULL","1"
"51","1","2","24","18","1454","8","270","681","839","1350","18","0","0","0","10","189","2","2","0","17","4","4","0","1","67","0","2","0","0","2","0","0","4","517","2013-10-27 21:42:48","2013-10-27 21:42:48","NULL","1"
"52","1","2","39","36","1400","5","186","596","790","1300","26","1","0","1","9","143","1","0","0","11","7","6","0","0","72","3","2","0","0","0","0","0","1","507","2013-10-27 21:42:52","2013-10-27 21:42:52","NULL","1"
"53","1","2","60","2","1182","9","217","627","738","1100","16","1","0","2","4","136","1","1","3","24","2","2","1","0","56","2","4","0","0","1","0","0","1","481","2013-10-27 21:42:59","2013-10-27 21:42:59","1","0"
"54","1","2","24","31","1454","8","270","681","839","1350","18","0","0","0","10","189","2","2","0","17","4","4","0","1","67","0","2","0","0","2","0","0","4","517","2013-10-27 21:43:10","2013-10-27 21:43:10","NULL","1"
"55","1","1","36","38","306","50","119","203","216","350","3","0","0","0","2","31","0","1","0","12","3","0","0","1","28","0","1","0","0","0","2","0","0","132","2013-10-27 21:43:16","2013-10-27 21:43:16","NULL","1"
"56","1","3","2","32","1358","7","230","701","826","1250","13","1","2","0","8","155","0","1","0","27","4","16","0","0","84","2","2","1","0","0","0","0","1","509","2013-10-27 21:43:19","2013-10-27 21:44:45","0","0"
"57","1","2","24","21","1454","8","270","681","839","1350","18","0","0","0","10","189","2","2","0","7","4","4","0","1","67","0","2","0","0","2","0","0","4","517","2013-10-27 21:43:51","2013-10-27 21:43:51","NULL","1"
"58","1","2","60","36","1182","9","217","627","738","1100","16","1","0","2","4","136","1","1","3","24","2","2","1","0","56","2","4","0","0","1","0","0","1","481","2013-10-27 21:43:55","2013-10-27 21:43:55","NULL","1"
"59","1","2","60","20","1182","9","217","627","738","1100","16","1","0","2","4","136","1","1","3","24","2","2","1","0","56","2","4","0","0","1","0","0","1","481","2013-10-27 21:44:04","2013-10-27 21:44:04","NULL","1"
