region,district id,district name,უბანი,მომაგრებული უბანი,ერთიან სიაში ამომრჩეველთა რაოდენობა,სპეციალურ სიაში ამომრჩეველთა რაოდენობა,აქტივობა 12 საათი,აქტივობა 17 საათი,არჩევნებში მონაწილეთა რაოდენობა,num ballots,ბათილი ბიულეტენები,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1,4,5,9,10,17,19,23,24,26,30,35,36,38,40,41,42
,2,,38,,1357,9,371,834,948,,21,,,,,,,,15,0,218,,13,,,,12,,,2,0,11,,652,
,2,,39,,1508,8,384,892,1040,,20,,,,,,,,15,0,233,,11,,,,16,,,0,1,4,,736,
,2,,40,,1048,11,313,678,757,,19,,,,,,,,13,1,177,,3,,,,7,,,1,0,3,,528,
,2,,41,,887,11,295,560,634,,10,,,,,,,,3,3,162,,6,,,,9,,,1,2,1,,434,
,2,,42,,1450,11,400,853,972,,28,,,,,,,,15,1,213,,9,,,,10,,,1,1,11,,679,
,2,,43,,1423,4,444,894,1005,,27,,,,,,,,8,2,284,,5,,,,10,,,0,0,9,,658,
,2,,44,,1442,8,334,861,1017,,36,,,,,,,,10,1,233,,14,,,,13,,,2,0,7,,700,
,2,,45,,1473,8,423,900,1049,,27,,,,,,,,19,1,233,,16,,,,9,,,1,0,7,,726,
,2,,46,,1274,9,359,785,897,,22,,,,,,,,10,0,185,,10,,,,13,,,0,1,3,,640,
,2,,47,,1292,5,417,821,921,,23,,,,,,,,12,1,195,,10,,,,9,,,1,3,9,,653,
,2,,48,,1372,9,353,786,927,,20,,,,,,,,6,2,216,,13,,,,16,,,1,0,8,,643,
,2,,49,,1324,13,320,798,974,,27,,,,,,,,9,2,181,,3,,,,22,,,0,1,4,,726,
,2,,50,,1472,8,376,933,1112,,24,,,,,,,,16,0,205,,6,,,,18,,,0,1,11,,830,
,2,,51,,1404,3,315,934,1050,,16,,,,,,,,10,1,184,,13,,,,12,,,1,0,3,,807,
,2,,52,,1185,12,310,769,894,,19,,,,,,,,12,0,194,,6,,,,17,,,0,0,3,,643,
,2,,53,,1493,5,366,829,1008,,37,,,,,,,,16,1,212,,13,,,,15,,,0,0,13,,700,
,2,,54,,1095,10,273,683,770,,19,,,,,,,,7,0,186,,7,,,,8,,,0,3,6,,533,
,2,,55,81,1294,997,687,1746,1879,,53,,,,,,,,28,3,891,,20,,,,19,,,0,1,12,,850,
,2,,56,,1554,14,370,909,1056,,26,,,,,,,,19,1,269,,12,,,,9,,,0,3,3,,710,
,2,,57,,1324,10,325,726,878,,35,,,,,,,,13,0,173,,17,,,,14,,,0,1,8,,614,
,2,,58,,1393,9,438,863,977,,19,,,,,,,,5,1,201,,12,,,,10,,,0,2,5,,721,
,2,,59,,1455,8,244,774,1055,,30,,,,,,,,14,2,244,,8,,,,16,,,1,1,9,,729,
,2,,60,,1298,9,370,837,924,,32,,,,,,,,12,1,215,,8,,,,11,,,1,5,9,,627,
,2,,61,,1455,11,348,893,1019,,33,,,,,,,,10,0,227,,9,,,,9,,,0,1,11,,719,
,2,,62,,1333,6,313,774,898,,10,,,,,,,,12,0,212,,6,,,,17,,,0,0,6,,631,
,2,,63,,1296,5,281,720,881,,20,,,,,,,,11,2,236,,11,,,,11,,,0,1,4,,585,
,2,,64,,1405,9,432,897,1007,,32,,,,,,,,9,1,234,,7,,,,14,,,1,0,5,,702,
,2,,65,,632,5,179,349,374,,9,,,,,,,,4,2,139,,4,,,,3,,,0,1,1,,208,
,2,,66,,1144,9,270,641,873,,19,,,,,,,,2,0,231,,3,,,,4,,,0,0,8,,603,
,2,,67,,977,9,263,648,793,,24,,,,,,,,3,0,237,,8,,,,10,,,0,0,4,,507,
,2,,68,,1338,6,361,731,801,,18,,,,,,,,3,2,267,,9,,,,2,,,1,1,9,,487,
,2,,69,,1136,5,261,662,783,,21,,,,,,,,8,0,317,,2,,,,5,,,5,0,6,,419,
,2,,70,,947,11,248,604,658,,22,,,,,,,,0,0,236,,5,,,,4,,,7,0,2,,381,
,2,,71,,1503,10,400,879,970,,18,,,,,,,,8,2,224,,10,,,,9,,,0,2,1,,693,
